spp,hatchdat,sizename,sizeclass_cm,Trial_ID,Contact_event,Contact_Orientation,Contact_First_Bodypart,N_Contact,Time_Point,Notes,Data_Enterer,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,3,Upstream,Tail,1,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,4,Upstream,Tail,2,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,5,Upstream,Tail,4,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,6,Upstream,Tail,1,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,7,Upstream,Tail,2,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,8,Upstream,Tail,2,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,9,Upstream,Tail,5,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,10,Upstream,Tail,3,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,11,Upstream,Tail,1,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,12,Upstream,Body,1,t5,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,1,Upstream,Tail,3,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,2,Upstream,Tail,1,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,3,Upstream,Tail,6,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,4,Upstream,Tail,1,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,5,Upstream,Tail,3,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,6,Upstream,Tail,3,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,7,Upstream,Tail,3,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,8,Upstream,Body,1,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,9,Downstream,Tail,1,t10,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,1,Upstream,Tail,1,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,2,Upstream,Tail,1,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,3,Upstream,Tail,3,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,4,Upstream,Tail,1,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,5,Upstream,Tail,2,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,6,Upstream,Tail,3,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,7,Upstream,Tail,1,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,8,Unknown,Tail,1,t15,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,1,Upstream,Head,1,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,2,Upstream,Tail,1,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,3,Upstream,Tail,4,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,4,Upstream,Tail,3,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,5,Upstream,Tail,7,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,6,Unknown,Tail,1,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,7,Unknown,Tail,1,t20,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,1,Upstream,Tail,6,t25,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,2,Upstream,Tail,1,t25,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,3,Downstream,Head,1,t25,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_D,4,Unknown,Head,1,t25,NA,Megan,,,,,,,,,,
GS,2023-04-19,Small,6_10,2023-06-08_E,1,Upstream,Head,1,t5,NA,Megan,,,,,,,,,,
